127.0.0.1, 2018-04-16 18:39:23, GET, /, HTTP/1.1, 303, 0.001833
127.0.0.1, 2018-04-16 18:39:25, GET, /welcome/default/index, HTTP/1.1, 200, 2.428572
127.0.0.1, 2018-04-16 18:39:25, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001389
127.0.0.1, 2018-04-16 18:39:25, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000527
127.0.0.1, 2018-04-16 18:39:25, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.014318
127.0.0.1, 2018-04-16 18:39:26, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.051014
127.0.0.1, 2018-04-16 18:39:26, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.064139
127.0.0.1, 2018-04-16 18:39:26, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000636
127.0.0.1, 2018-04-16 18:39:26, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001856
127.0.0.1, 2018-04-16 18:39:26, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.017598
127.0.0.1, 2018-04-16 18:39:26, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.039543
127.0.0.1, 2018-04-16 18:39:26, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001261
127.0.0.1, 2018-04-16 18:39:26, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000615
127.0.0.1, 2018-04-16 18:39:26, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000735
127.0.0.1, 2018-04-16 18:39:26, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.016092
127.0.0.1, 2018-04-16 18:39:26, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000654
127.0.0.1, 2018-04-16 18:39:36, GET, /welcome/default/index, HTTP/1.1, 200, 0.051103
127.0.0.1, 2018-04-30 18:24:21, GET, /mercenary_game/default/index, HTTP/1.1, 200, 0.074647
127.0.0.1, 2018-04-30 18:24:21, GET, /mercenary_game/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000734
127.0.0.1, 2018-04-30 18:24:21, GET, /mercenary_game/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001349
127.0.0.1, 2018-04-30 18:24:21, GET, /mercenary_game/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000854
127.0.0.1, 2018-04-30 18:24:21, GET, /mercenary_game/static/js/jquery.js, HTTP/1.1, 200, 0.000712
127.0.0.1, 2018-04-30 18:24:21, GET, /mercenary_game/static/css/calendar.css, HTTP/1.1, 200, 0.000709
127.0.0.1, 2018-04-30 18:24:21, GET, /mercenary_game/static/js/web2py.js, HTTP/1.1, 200, 0.000897
127.0.0.1, 2018-04-30 18:24:21, GET, /mercenary_game/static/js/calendar.js, HTTP/1.1, 200, 0.000780
127.0.0.1, 2018-04-30 18:24:21, GET, /mercenary_game/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002975
127.0.0.1, 2018-04-30 18:24:21, GET, /mercenary_game/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000846
127.0.0.1, 2018-04-30 18:24:21, GET, /mercenary_game/static/js/share.js, HTTP/1.1, 200, 0.003694
127.0.0.1, 2018-04-30 18:24:21, GET, /mercenary_game/static/images/twitter.png, HTTP/1.1, 200, 0.001831
127.0.0.1, 2018-04-30 18:24:21, GET, /mercenary_game/static/images/gplus-32.png, HTTP/1.1, 200, 0.001165
127.0.0.1, 2018-04-30 18:24:21, GET, /mercenary_game/static/images/facebook.png, HTTP/1.1, 200, 0.001948
127.0.0.1, 2018-04-30 18:24:21, GET, /mercenary_game/static/images/favicon.ico, HTTP/1.1, 200, 0.000855
127.0.0.1, 2018-04-30 18:33:56, GET, /mercenary_game/default/index, HTTP/1.1, 200, 0.084655
127.0.0.1, 2018-04-30 18:33:56, GET, /mercenary_game/static/css/stupid.css, HTTP/1.1, 200, 0.000871
127.0.0.1, 2018-04-30 18:33:56, GET, /mercenary_game/static/css/custom.css, HTTP/1.1, 200, 0.001955
127.0.0.1, 2018-04-30 18:33:56, GET, /mercenary_game/static/css/calendar.css, HTTP/1.1, 200, 0.000806
127.0.0.1, 2018-04-30 18:33:56, GET, /mercenary_game/static/css/web2py.css, HTTP/1.1, 200, 0.000856
127.0.0.1, 2018-04-30 18:33:56, GET, /mercenary_game/static/css/myapp.css, HTTP/1.1, 200, 0.000850
127.0.0.1, 2018-04-30 18:33:56, GET, /mercenary_game/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000678
127.0.0.1, 2018-04-30 18:33:56, GET, /mercenary_game/static/js/jquery.js, HTTP/1.1, 200, 0.000795
127.0.0.1, 2018-04-30 18:33:56, GET, /mercenary_game/static/js/calendar.js, HTTP/1.1, 200, 0.000785
127.0.0.1, 2018-04-30 18:33:56, GET, /mercenary_game/static/js/web2py.js, HTTP/1.1, 200, 0.000768
127.0.0.1, 2018-04-30 18:33:56, GET, /mercenary_game/static/js/vue.min.js, HTTP/1.1, 200, 0.000849
127.0.0.1, 2018-04-30 18:33:56, GET, /mercenary_game/static/js/marked.min.js, HTTP/1.1, 200, 0.003057
127.0.0.1, 2018-04-30 18:33:56, GET, /mercenary_game/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000457
127.0.0.1, 2018-04-30 18:33:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000465
127.0.0.1, 2018-04-30 18:35:18, GET, /mercenary_game/default/index, HTTP/1.1, 200, 0.026770
127.0.0.1, 2018-04-30 18:35:18, GET, /mercenary_game/static/css/stupid.css, HTTP/1.1, 200, 0.000726
127.0.0.1, 2018-04-30 18:35:18, GET, /mercenary_game/static/css/calendar.css, HTTP/1.1, 200, 0.000669
127.0.0.1, 2018-04-30 18:35:18, GET, /mercenary_game/static/css/web2py.css, HTTP/1.1, 200, 0.000632
127.0.0.1, 2018-04-30 18:35:18, GET, /mercenary_game/static/css/myapp.css, HTTP/1.1, 200, 0.000718
127.0.0.1, 2018-04-30 18:35:18, GET, /mercenary_game/static/css/custom.css, HTTP/1.1, 200, 0.002102
127.0.0.1, 2018-04-30 18:35:18, GET, /mercenary_game/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000718
127.0.0.1, 2018-04-30 18:35:18, GET, /mercenary_game/static/js/jquery.js, HTTP/1.1, 200, 0.000813
127.0.0.1, 2018-04-30 18:35:18, GET, /mercenary_game/static/js/calendar.js, HTTP/1.1, 200, 0.001461
127.0.0.1, 2018-04-30 18:35:18, GET, /mercenary_game/static/js/marked.min.js, HTTP/1.1, 200, 0.002052
127.0.0.1, 2018-04-30 18:35:18, GET, /mercenary_game/static/js/web2py.js, HTTP/1.1, 200, 0.005388
127.0.0.1, 2018-04-30 18:35:18, GET, /mercenary_game/static/js/vue.min.js, HTTP/1.1, 200, 0.001270
127.0.0.1, 2018-04-30 18:35:18, GET, /mercenary_game/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000440
127.0.0.1, 2018-04-30 18:35:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000392
127.0.0.1, 2018-04-30 18:35:36, GET, /mercenary_game/default/index, HTTP/1.1, 200, 0.043173
127.0.0.1, 2018-04-30 18:35:36, GET, /mercenary_game/static/css/stupid.css, HTTP/1.1, 200, 0.000742
127.0.0.1, 2018-04-30 18:35:36, GET, /mercenary_game/static/css/custom.css, HTTP/1.1, 200, 0.000910
127.0.0.1, 2018-04-30 18:35:36, GET, /mercenary_game/static/css/calendar.css, HTTP/1.1, 200, 0.000771
127.0.0.1, 2018-04-30 18:35:36, GET, /mercenary_game/static/css/web2py.css, HTTP/1.1, 200, 0.000699
127.0.0.1, 2018-04-30 18:35:36, GET, /mercenary_game/static/js/jquery.js, HTTP/1.1, 200, 0.000770
127.0.0.1, 2018-04-30 18:35:36, GET, /mercenary_game/static/js/calendar.js, HTTP/1.1, 200, 0.000690
127.0.0.1, 2018-04-30 18:35:36, GET, /mercenary_game/static/css/myapp.css, HTTP/1.1, 200, 0.006948
127.0.0.1, 2018-04-30 18:35:36, GET, /mercenary_game/static/js/web2py.js, HTTP/1.1, 200, 0.002665
127.0.0.1, 2018-04-30 18:35:36, GET, /mercenary_game/static/js/marked.min.js, HTTP/1.1, 200, 0.001640
127.0.0.1, 2018-04-30 18:35:36, GET, /mercenary_game/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.004976
127.0.0.1, 2018-04-30 18:35:36, GET, /mercenary_game/static/js/vue.min.js, HTTP/1.1, 200, 0.000713
127.0.0.1, 2018-04-30 18:35:36, GET, /mercenary_game/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000428
127.0.0.1, 2018-04-30 18:35:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000522
